08CA	Mn	unicode
08CB	Mn	unicode
08CC	Mn	unicode
08CD	Mn	unicode
08CE	Mn	unicode
08CF	Mn	unicode
08D0	Mn	unicode
08D1	Mn	unicode
08D2	Mn	unicode
08D3	Mn	unicode
08D4	Mn	unicode
08D5	Mn	unicode
08D6	Mn	unicode
08D7	Mn	unicode
08D8	Mn	unicode
08D9	Mn	unicode
08DA	Mn	unicode
08DB	Mn	unicode
08DC	Mn	unicode
08DD	Mn	unicode
08DE	Mn	unicode
08DF	Mn	unicode
08E0	Mn	unicode
08E1	Mn	unicode
08E2	Cf	unicode
08E3	Mn	unicode
08E4	Mn	unicode
08E5	Mn	unicode
08E6	Mn	unicode
08E7	Mn	unicode
08E8	Mn	unicode
08E9	Mn	unicode
08EA	Mn	unicode
08EB	Mn	unicode
08EC	Mn	unicode
08ED	Mn	unicode
08EE	Mn	unicode
08EF	Mn	unicode
08F0	Mn	unicode
08F1	Mn	unicode
08F2	Mn	unicode
08F3	Mn	unicode
08F4	Mn	unicode
08F5	Mn	unicode
08F6	Mn	unicode
08F7	Mn	unicode
08F8	Mn	unicode
08F9	Mn	unicode
08FA	Mn	unicode
08FB	Mn	unicode
08FC	Mn	unicode
08FD	Mn	unicode
08FE	Mn	unicode
08FF	Mn	unicode
0900	Mn	unicode
0901	Mn	unicode
0902	Mn	unicode
093A	Mn	unicode
093C	Mn	unicode
0941	Mn	unicode
0942	Mn	unicode
0943	Mn	unicode
0944	Mn	unicode
0945	Mn	unicode
0946	Mn	unicode
0947	Mn	unicode
0948	Mn	unicode
094D	Mn	unicode
0951	Mn	unicode
0952	Mn	unicode
0953	Mn	unicode
0954	Mn	unicode
0955	Mn	unicode
0956	Mn	unicode
0957	Mn	unicode
0962	Mn	unicode
0963	Mn	unicode
0981	Mn	unicode
09BC	Mn	unicode
09C1	Mn	unicode
09C2	Mn	unicode
09C3	Mn	unicode
09C4	Mn	unicode
09CD	Mn	unicode
09E2	Mn	unicode
09E3	Mn	unicode
09FE	Mn	unicode
0A01	Mn	unicode
0A02	Mn	unicode
0A3C	Mn	unicode
0A41	Mn	unicode
0A42	Mn	unicode
0A47	Mn	unicode
0A48	Mn	unicode
0A4B	Mn	unicode
0A4C	Mn	unicode
0A4D	Mn	unicode
0A51	Mn	unicode
0A70	Mn	unicode
0A71	Mn	unicode
0A75	Mn	unicode
0A81	Mn	unicode
0A82	Mn	unicode
0ABC	Mn	unicode
0AC1	Mn	unicode
0AC2	Mn	unicode
0AC3	Mn	unicode
0AC4	Mn	unicode
0AC5	Mn	unicode
0AC7	Mn	unicode
0AC8	Mn	unicode
0ACD	Mn	unicode
0AE2	Mn	unicode
0AE3	Mn	unicode
0AFA	Mn	unicode
0AFB	Mn	unicode
0AFC	Mn	unicode
0AFD	Mn	unicode
0AFE	Mn	unicode
0AFF	Mn	unicode
0B01	Mn	unicode
0B3C	Mn	unicode
0B3F	Mn	unicode
0B41	Mn	unicode
0B42	Mn	unicode
0B43	Mn	unicode
0B44	Mn	unicode
0B4D	Mn	unicode
0B55	Mn	unicode
0B56	Mn	unicode
0B62	Mn	unicode
0B63	Mn	unicode
0B82	Mn	unicode
0BC0	Mn	unicode
0BCD	Mn	unicode
0C00	Mn	unicode
0C04	Mn	unicode
0C3C	Mn	unicode
0C3E	Mn	unicode
0C3F	Mn	unicode
0C40	Mn	unicode
0C46	Mn	unicode
0C47	Mn	unicode
0C48	Mn	unicode
0C4A	Mn	unicode
0C4B	Mn	unicode
0C4C	Mn	unicode
0C4D	Mn	unicode
0C55	Mn	unicode
0C56	Mn	unicode
0C62	Mn	unicode
0C63	Mn	unicode
0C81	Mn	unicode
0CBC	Mn	unicode
0CBF	Mn	unicode
0CC6	Mn	unicode
0CCC	Mn	unicode
0CCD	Mn	unicode
0CE2	Mn	unicode
0CE3	Mn	unicode
0D00	Mn	unicode
0D01	Mn	unicode
0D3B	Mn	unicode
0D3C	Mn	unicode
0D41	Mn	unicode
0D42	Mn	unicode
0D43	Mn	unicode
0D44	Mn	unicode
0D4D	Mn	unicode
0D62	Mn	unicode
0D63	Mn	unicode
0D81	Mn	unicode
0DCA	Mn	unicode
0DD2	Mn	unicode
0DD3	Mn	unicode
0DD4	Mn	unicode
0DD6	Mn	unicode
0E31	Mn	unicode
0E34	Mn	unicode
0E35	Mn	unicode
0E36	Mn	unicode
0E37	Mn	unicode
0E38	Mn	unicode
0E39	Mn	unicode
0E3A	Mn	unicode
0E47	Mn	unicode
0E48	Mn	unicode
0E49	Mn	unicode
0E4A	Mn	unicode
0E4B	Mn	unicode
0E4C	Mn	unicode
0E4D	Mn	unicode
0E4E	Mn	unicode
0EB1	Mn	unicode
0EB4	Mn	unicode
0EB5	Mn	unicode
0EB6	Mn	unicode
0EB7	Mn	unicode
0EB8	Mn	unicode
0EB9	Mn	unicode
0EBA	Mn	unicode
0EBB	Mn	unicode
0EBC	Mn	unicode
0EC8	Mn	unicode
0EC9	Mn	unicode
0ECA	Mn	unicode
0ECB	Mn	unicode
0ECC	Mn	unicode
0ECD	Mn	unicode
0ECE	Cn	unicode
0F18	Mn	unicode
0F19	Mn	unicode
0F35	Mn	unicode
0F37	Mn	unicode
0F39	Mn	unicode
0F71	Mn	unicode
0F72	Mn	unicode
0F73	Mn	unicode
0F74	Mn	unicode
0F75	Mn	unicode
0F76	Mn	unicode
0F77	Mn	unicode
0F78	Mn	unicode
0F79	Mn	unicode
0F7A	Mn	unicode
0F7B	Mn	unicode
0F7C	Mn	unicode
0F7D	Mn	unicode
0F7E	Mn	unicode
0F80	Mn	unicode
0F81	Mn	unicode
0F82	Mn	unicode
0F83	Mn	unicode
0F84	Mn	unicode
0F86	Mn	unicode
0F87	Mn	unicode
0F8D	Mn	unicode
0F8E	Mn	unicode
0F8F	Mn	unicode
0F90	Mn	unicode
0F91	Mn	unicode
0F92	Mn	unicode
0F93	Mn	unicode
0F94	Mn	unicode
0F95	Mn	unicode
0F96	Mn	unicode
0F97	Mn	unicode
0F99	Mn	unicode
0F9A	Mn	unicode
0F9B	Mn	unicode
0F9C	Mn	unicode
0F9D	Mn	unicode
0F9E	Mn	unicode
0F9F	Mn	unicode
0FA0	Mn	unicode
0FA1	Mn	unicode
0FA2	Mn	unicode
0FA3	Mn	unicode
0FA4	Mn	unicode
0FA5	Mn	unicode
0FA6	Mn	unicode
